総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	ｽｲﾑﾗｯﾌﾟ	T1	ﾊﾞｲｸﾗｯﾌﾟ	ﾗﾝﾗｯﾌﾟ	男子	女子	年齢区分	年齡別順
224	3045	甲斐 誉司	48	男	高知県	2:59:29	0:31:55	0:05:22	1:19:02	1:03:10	199		45-49男子	34
225	4019	今野 光彦	36	男	沖縄県	2:59:47	0:33:20	0:04:41	1:19:49	1:01:57	200		35-39男子	19
226	5106	宮原 亮	48	男	大阪府	2:59:53	0:29:45	0:04:59	1:18:01	1:07:08	201		45-49男子	35
227	9041	川畑 風神	30	男	大阪府	2:59:58	0:33:09	0:06:00	1:16:30	1:04:19	202		30-34男子	18
228	3126	金 伸行	53	男	愛知県	2:59:58	0:31:39	0:04:57	1:23:14	1:00:08	203		50-54男子	32
229	6010	萱野 真理子	56	女	奈良県	3:00:27	0:31:18	0:05:16	1:25:56	0:57:57		26	55-59女子	4
230	47	折原 由里子	44	女	埼玉県	3:00:29	0:22:59	0:02:44	1:30:10	1:04:36		27	40-44女子	2
231	4109	山口 智	58	男	石川県	3:00:32	0:32:13	0:04:12	1:19:20	1:04:47	204		55-59男子	23
232	5107	橋本 衛	52	男	兵庫県	3:00:32	0:34:11	0:04:25	1:26:24	0:55:32	205		50-54男子	33
233	18	近澤 佐恵子	50	女	沖縄県	3:00:34	0:33:30	0:04:24	1:22:10	1:00:30		28	50-54女子	5
234	7090	山本 安希	29	女	神奈川県	3:00:38	0:30:19	0:04:57	1:29:57	0:55:25		29	25-29女子	3
235	2082	三浦 孝之	55	男	青森県	3:00:43	0:27:36	0:03:38	1:21:39	1:07:50	206		55-59男子	24
236	2043	庵原 大湖	20	男	埼玉県	3:00:55	0:33:06	0:03:45	1:25:31	0:58:33	207		20-24男子	11
237	4049	岡部 航	40	男	東京都	3:00:55	0:28:01	0:03:28	1:26:00	1:03:26	208		40-44男子	34
238	5072	西村 廣起	41	男	東京都	3:00:55	0:35:44	0:06:05	1:23:44	0:55:22	209		40-44男子	35
239	4009	夏山 栄敏	67	男	東京都	3:00:58	0:31:27	0:03:53	1:21:10	1:04:28	210		65-69男子	5
240	3109	石井 一生	49	男	東京都	3:01:17	0:29:55	0:03:25	1:17:14	1:10:43	211		45-49男子	36
241	6014	鶴井 悠	36	女	沖縄県	3:01:41	0:26:18	0:04:54	1:30:59	0:59:30		30	35-39女子	5
242	23	森 悦子	61	女	東京都	3:01:52	0:30:02	0:03:13	1:27:14	1:01:23		31	60-64女子	6
243	36	富崎 麻未	43	女	沖縄県	3:01:57	0:24:31	0:03:32	1:27:54	1:06:00		32	40-44女子	3
244	3053	上野 敦史	53	男	神奈川県	3:02:02	0:29:31	0:05:06	1:27:15	1:00:10	212		50-54男子	34
245	2041	ﾌｪﾙﾃﾞｨﾅﾝﾄ ﾔﾏｸﾞﾁ	62	男	東京都	3:02:03	0:29:52	0:04:36	1:23:13	1:04:22	213		60-64男子	15
246	4006	二木 明彦	65	男	東京都	3:02:05	0:35:09	0:04:10	1:25:37	0:57:09	214		65-69男子	6
247	5109	小笠原 治	54	男	東京都	3:02:07	0:33:28	0:04:14	1:25:29	0:58:56	215		50-54男子	35
248	3011	丸田 貴之	49	男	兵庫県	3:02:26	0:31:01	0:06:11	1:23:17	1:01:57	216		45-49男子	37
249	8059	Borja Maureen	34	女	UNITED STATES	3:02:28	0:29:30	0:04:21	1:32:00	0:56:37		33	30-34女子	2
250	3111	當山 心	50	女	東京都	3:02:41	0:29:00	0:05:27	1:24:47	1:03:27		34	50-54女子	6
251	3077	宮城 野乃香	27	女	沖縄県	3:02:48	0:33:02	0:05:33	1:38:00	0:46:13		35	25-29女子	4
252	89	川崎 潔	71	男	大阪府	3:02:55	0:33:56	0:04:31	1:23:49	1:00:39	217		70-74男子	4
253	5070	山岸 城太郎	38	男	東京都	3:03:08	0:31:45	0:03:57	1:17:34	1:09:52	218		35-39男子	20
254	3101	前田 幸弘	45	男	京都府	3:03:25	0:32:35	0:06:00	1:25:36	0:59:14	219		45-49男子	38
255	9076	垣本 眸美	38	女	沖縄県	3:03:26	0:31:14	0:04:35	1:34:05	0:53:32		36	35-39女子	6
256	4114	北本 大	61	男	茨城県	3:03:33	0:39:34	0:04:18	1:19:35	1:00:06	220		60-64男子	16
257	6053	翁長 昌章	51	男	大阪府	3:03:40	0:33:49	0:05:40	1:28:22	0:55:49	221		50-54男子	36
258	3134	世古 将幸	56	男	長野県	3:03:47	0:30:58	0:05:21	1:22:56	1:04:32	222		55-59男子	25
259	9019	上田 裕司	42	男	兵庫県	3:03:52	0:29:52	0:03:53	1:20:18	1:09:49	223		40-44男子	36
260	6037	坂元 靖昌	43	男	兵庫県	3:04:00	0:31:26	0:08:44	1:20:08	1:03:42	224		40-44男子	37
261	6038	小西 正喜	45	男	東京都	3:04:09	0:30:14	0:05:21	1:24:55	1:03:39	225		45-49男子	39
262	6018	前納 貴大	28	男	東京都	3:04:11	0:30:16	0:04:24	1:26:49	1:02:42	226		25-29男子	10
263	6024	Fornons Martin Jordi	37	男	SPAIN	3:04:16	0:34:56	0:04:28	1:25:45	0:59:07	227		35-39男子	21
264	2087	Luebbers Mat	65	男	沖縄県	3:04:21	0:27:38	0:05:56	1:18:28	1:12:19	228		65-69男子	7
265	3059	ｽﾀｲﾝ ﾏﾘｵ	57	男	東京都	3:04:26	0:29:04	0:04:42	1:23:29	1:07:11	229		55-59男子	26
266	6075	堤 裕次郎	56	男	東京都	3:04:45	0:38:25	0:04:56	1:22:04	0:59:20	230		55-59男子	27
267	7107	李 晟豪	45	男	Chinese Taipei	3:04:49	0:34:21	0:04:36	1:20:29	1:05:23	231		45-49男子	40
268	3063	市場 裕樹	48	男	千葉県	3:05:03	0:34:15	0:05:29	1:19:26	1:05:53	232		45-49男子	41
269	4045	Rosa Gabriela	39	女	東京都	3:05:20	0:30:19	0:03:43	1:31:26	0:59:52		37	35-39女子	7
270	8064	矢島 正邦	41	男	埼玉県	3:05:22	0:29:57	0:05:41	1:20:03	1:09:41	233		40-44男子	38
271	5005	前原 健太郎	51	男	愛知県	3:05:24	0:28:51	0:05:18	1:23:13	1:08:02	234		50-54男子	37
272	6044	Cheung Kim Hung	48	男	HONG KONG	3:05:35	0:30:18	0:06:59	1:31:36	0:56:42	235		45-49男子	42
273	2036	横山 利香	51	女	東京都	3:05:44	0:27:18	0:06:46	1:28:35	1:03:05		38	50-54女子	7
274	2039	小山 義英	60	男	東京都	3:05:46	0:29:23	0:06:03	1:23:49	1:06:31	236		60-64男子	17
275	4094	鶴和 義朗	54	男	大阪府	3:05:53	0:33:14	0:02:47	1:19:01	1:10:51	237		50-54男子	38
276	7038	足立 慎治	43	男	神奈川県	3:06:04	0:31:35	0:05:55	1:41:58	0:46:36	238		40-44男子	39
277	4046	小倉 章	40	男	埼玉県	3:06:06	0:31:38	0:05:35	1:25:19	1:03:34	239		40-44男子	40
278	7102	長神 新之介	40	男	兵庫県	3:06:09	0:27:45	0:05:34	1:26:22	1:06:28	240		40-44男子	41
279	4027	増野 稔	56	男	香川県	3:06:13	0:30:54	0:05:39	1:25:47	1:03:53	241		55-59男子	28
280	6041	小林 大介	47	男	静岡県	3:06:17	0:28:58	0:06:04	1:29:27	1:01:48	242		45-49男子	43
281	5058	石川 拓人	45	男	東京都	3:06:27	0:34:42	0:04:17	1:25:14	1:02:14	243		45-49男子	44
282	7099	和田 愛子	37	女	沖縄県	3:06:28	0:29:11	0:02:52	1:27:59	1:06:26		39	35-39女子	8
283	7023	松尾 広之	30	男	千葉県	3:06:28	0:35:32	0:06:56	1:27:55	0:56:05	244		30-34男子	19
284	6125	野上 麻理	55	女	大阪府	3:06:33	0:35:31	0:05:09	1:27:45	0:58:08		40	55-59女子	5
285	2023	岩田 真幸	37	男	東京都	3:06:35	0:29:57	0:04:25	1:29:57	1:02:16	245		35-39男子	22
286	4078	関根 美樹	48	女	東京都	3:06:36	0:28:23	0:05:33	1:29:02	1:03:38		41	45-49女子	2
287	2112	倉岡 圭	45	男	福岡県	3:06:40	0:30:12	0:03:25	1:15:32	1:17:31	246		45-49男子	45
288	7120	山本 弘美	51	女	兵庫県	3:06:50	0:33:16	0:06:39	1:23:35	1:03:20		42	50-54女子	8
289	4030	上地 永次	45	男	沖縄県	3:06:51	0:37:44	0:04:24	1:24:32	1:00:11	247		45-49男子	46
290	2029	古家 政吉	55	男	東京都	3:06:55	0:27:49	0:02:53	1:26:15	1:09:58	248		55-59男子	29
291	4083	鈴木 信也	50	男	愛知県	3:06:58	0:31:57	0:05:31	1:20:13	1:09:17	249		50-54男子	39
292	3135	惠﨑 浩則	57	男	福岡県	3:06:59	0:32:58	0:04:29	1:24:37	1:04:55	250		55-59男子	30
293	3018	山澤 洋子	56	女	東京都	3:07:07	0:29:42	0:05:49	1:27:06	1:04:30		43	55-59女子	6
294	4073	渡辺 俊一	47	男	大阪府	3:07:10	0:31:26	0:07:21	1:21:48	1:06:35	251		45-49男子	47
295	94	Tasca Mariana	40	女	BRAZIL	3:07:14	0:30:13	0:05:12	1:30:58	1:00:51		44	40-44女子	4
296	5060	三木 保人	46	男	和歌山県	3:07:19	0:32:15	0:05:57	1:18:42	1:10:25	252		45-49男子	48
297	17	江村 彩	49	女	沖縄県	3:07:28	0:27:37	0:03:23	1:28:29	1:07:59		45	45-49女子	3
298	3013	汐見 千佳	52	女	東京都	3:07:39	0:30:09	0:04:36	1:27:47	1:05:07		46	50-54女子	9
299	3137	鈴木 協一郎	59	男	東京都	3:07:41	0:30:48	0:05:39	1:25:49	1:05:25	253		55-59男子	31
300	5092	磯部 大輔	56	男	沖縄県	3:07:45	0:36:19	0:05:07	1:26:21	0:59:58	254		55-59男子	32
301	5098	石川 健太郎	42	男	東京都	3:07:49	0:33:10	0:05:46	1:27:17	1:01:36	255		40-44男子	42
302	2024	裙本 理人	42	男	東京都	3:07:50	0:32:54	0:04:24	1:23:15	1:07:17	256		40-44男子	43
303	2064	山本 顕	55	男	愛知県	3:07:54	0:31:26	0:05:11	1:32:05	0:59:12	257		55-59男子	33
304	4079	山田 大人	49	男	東京都	3:08:08	0:35:21	0:06:46	1:27:34	0:58:27	258		45-49男子	49
305	2060	三十日 辰哉	52	男	東京都	3:08:27	0:25:28	0:03:35	1:27:55	1:11:29	259		50-54男子	40
306	7059	金井 一馬	52	男	千葉県	3:08:32	0:35:15	0:05:16	1:28:30	0:59:31	260		50-54男子	41
307	7092	伊藤 直樹	31	男	東京都	3:08:35	0:37:49	0:05:38	1:32:27	0:52:41	261		30-34男子	20
308	4061	佐伯 卓也	44	男	神奈川県	3:08:36	0:35:04	0:04:20	1:22:39	1:06:33	262		40-44男子	44
309	3042	北條 明宏	45	男	大阪府	3:08:40	0:34:26	0:05:20	1:21:59	1:06:55	263		45-49男子	50
310	4025	川端 力	50	男	東京都	3:08:44	0:31:30	0:04:29	1:25:17	1:07:28	264		50-54男子	42
311	2074	天野 一彦	62	男	神奈川県	3:08:48	0:29:20	0:04:13	1:27:45	1:07:30	265		60-64男子	18
312	4093	吉原 ケビン	53	男	東京都	3:08:54	0:29:48	0:05:37	1:22:51	1:10:38	266		50-54男子	43
313	5042	奥村 暢子	41	女	東京都	3:09:01	0:34:57	0:04:36	1:29:04	1:00:24		47	40-44女子	5
314	4074	上野 大介	47	男	MALAYSIA	3:09:14	0:34:25	0:06:20	1:29:43	0:58:46	267		45-49男子	51
315	3119	大西 健史	51	男	東京都	3:09:22	0:34:26	0:04:16	1:27:30	1:03:10	268		50-54男子	44
316	2092	加瀬 恵美	43	女	千葉県	3:09:35	0:27:05	0:05:20	1:27:26	1:09:44		48	40-44女子	6
317	5034	吉澤 英和	48	男	東京都	3:09:39	0:32:21	0:06:40	1:23:48	1:06:50	269		45-49男子	52
318	4088	山口 健司	52	男	東京都	3:09:47	0:32:26	0:05:04	1:23:09	1:09:08	270		50-54男子	45
319	3072	市川 圭介	43	男	東京都	3:09:54	0:31:19	0:05:37	1:30:07	1:02:51	271		40-44男子	45
320	5078	石田 純治	58	男	東京都	3:10:01	0:32:18	0:05:32	1:27:55	1:04:16	272		55-59男子	34
321	8051	土屋 貴寛	27	男	東京都	3:10:01	0:33:45	0:06:45	1:29:12	1:00:19	273		25-29男子	11
322	4087	細越 昇	51	男	大阪府	3:10:02	0:30:07	0:03:48	1:25:37	1:10:30	274		50-54男子	46
323	5069	坪田 遼	27	男	東京都	3:10:02	0:38:22	0:04:18	1:27:05	1:00:17	275		25-29男子	12
324	4116	木村 隆夫	62	男	佐賀県	3:10:05	0:32:04	0:04:06	1:28:15	1:05:40	276		60-64男子	19
325	4026	淺倉 敬一	51	男	静岡県	3:10:10	0:30:06	0:05:16	1:23:15	1:11:33	277		50-54男子	47
326	9049	宮城 徹	34	男	東京都	3:10:36	0:34:27	0:05:21	1:19:27	1:11:21	278		30-34男子	21
327	42	大和田 英明	50	男	愛知県	3:10:45	0:26:37	0:03:59	1:28:23	1:11:46	279		50-54男子	48
328	9071	松浦 宏	65	男	東京都	3:10:48	0:33:26	0:07:33	1:28:13	1:01:36	280		65-69男子	8
329	3049	上地 永一	50	男	沖縄県	3:10:52	0:29:52	0:04:38	1:26:06	1:10:16	281		50-54男子	49
330	84	揖場 裕	74	男	兵庫県	3:10:59	0:28:02	0:04:08	1:27:42	1:11:07	282		70-74男子	5
331	4106	林 真由美	57	女	兵庫県	3:11:04	0:31:56	0:06:18	1:24:21	1:08:29		49	55-59女子	7
332	7029	己上 雄矢	36	男	神奈川県	3:11:10	0:34:15	0:06:06	1:28:09	1:02:40	283		35-39男子	23
333	2049	榎田 大舗	39	男	東京都	3:11:46	0:25:06	0:05:01	1:33:59	1:07:40	284		35-39男子	24
334	4085	加藤 悟史	51	男	神奈川県	3:11:48	0:30:34	0:05:12	1:29:11	1:06:51	285		50-54男子	50
335	6118	兼澤 直子	63	女	京都府	3:11:49	0:33:20	0:04:44	1:31:56	1:01:49		50	60-64女子	7
336	2055	青野 力	47	男	愛媛県	3:11:57	0:27:49	0:03:42	1:20:19	1:20:07	286		45-49男子	53
337	9007	蓬田 匡	33	男	沖縄県	3:11:57	0:32:38	0:05:40	1:21:44	1:11:55	287		30-34男子	22
338	8072	為谷 勝	44	男	東京都	3:11:58	0:30:08	0:06:36	1:24:00	1:11:14	288		40-44男子	46
339	5050	八田 準一郎	56	男	滋賀県	3:12:00	0:31:14	0:05:44	1:26:47	1:08:15	289		55-59男子	35
340	4092	伊藤 多嘉彦	53	男	東京都	3:12:01	0:31:55	0:06:10	1:24:41	1:09:15	290		50-54男子	51
341	3080	荒木 章吾	30	男	神奈川県	3:12:03	0:32:07	0:07:29	1:28:26	1:04:01	291		30-34男子	23
342	4054	Tasca Ricardo	42	男	UNITED STATES	3:12:06	0:33:31	0:06:29	1:19:06	1:13:00	292		40-44男子	47
343	2028	太田 宗男	52	男	滋賀県	3:12:07	0:24:58	0:04:02	1:30:35	1:12:32	293		50-54男子	52
344	7006	福永 真一郎	50	男	埼玉県	3:12:08	0:35:53	0:04:40	1:23:37	1:07:58	294		50-54男子	53
345	71	曽根 敏樹	70	男	東京都	3:12:10	0:26:43	0:04:27	1:24:42	1:16:18	295		70-74男子	6
346	3103	山本 佑司	46	男	京都府	3:12:22	0:32:36	0:03:28	1:16:38	1:19:40	296		45-49男子	54
347	5052	吉岡 朋昭	61	男	東京都	3:12:24	0:34:42	0:05:47	1:20:42	1:11:13	297		60-64男子	20
348	5041	都築 啓一	34	男	愛知県	3:12:30	0:36:39	0:04:53	1:18:15	1:12:43	298		30-34男子	24
349	4014	中村 恵美	44	女	東京都	3:12:31	0:34:26	0:06:24	1:26:10	1:05:31		51	40-44女子	7
350	9016	遠藤 憲吾	40	男	千葉県	3:12:35	0:37:29	0:06:22	1:28:43	1:00:01	299		40-44男子	48
351	3102	竹下 茂雄	45	男	東京都	3:12:36	0:33:32	0:04:45	1:26:06	1:08:13	300		45-49男子	55
352	2118	永田 英孝	54	男	大阪府	3:12:36	0:30:26	0:04:25	1:23:32	1:14:13	301		50-54男子	54
353	7064	安間 年信	55	男	静岡県	3:12:38	0:36:07	0:04:13	1:22:51	1:09:27	302		55-59男子	36
354	2009	足立 健児	55	男	神奈川県	3:12:47	0:24:39	0:02:26	1:23:23	1:22:19	303		55-59男子	37
355	5037	羽田野 潔	60	男	東京都	3:12:47	0:32:06	0:06:02	1:26:26	1:08:13	304		60-64男子	21
356	62	安藤 佑介	32	男	富山県	3:12:49	0:24:33	0:03:41	1:28:27	1:16:08	305		30-34男子	25
357	8098	重留 睦美	63	女	大阪府	3:13:14	0:35:32	0:05:33	1:28:44	1:03:25		52	60-64女子	8
358	3029	佐藤 理絵	57	女	東京都	3:13:25	0:29:33	0:05:43	1:26:36	1:11:33		53	55-59女子	8
359	27	大屋 実之	40	男	沖縄県	3:13:27	0:29:54	0:03:53	1:31:20	1:08:20	306		40-44男子	49
360	4096	関口 秀之	55	男	東京都	3:13:39	0:32:22	0:05:47	1:28:10	1:07:20	307		55-59男子	38
361	5064	石塚 永稔	37	男	東京都	3:13:58	0:41:27	0:04:28	1:27:45	1:00:18	308		35-39男子	25
362	4072	丹羽 洋一	47	男	神奈川県	3:13:58	0:31:48	0:04:32	1:22:36	1:15:02	309		45-49男子	56
363	70	本田 真奈美	44	女	東京都	3:14:04	0:25:46	0:03:47	1:39:01	1:05:30		54	40-44女子	8
364	3084	久保 祥馬	33	男	東京都	3:14:18	0:32:44	0:05:10	1:24:55	1:11:29	310		30-34男子	26
365	4038	松尾 圭悟	30	男	東京都	3:14:35	0:30:04	0:05:40	1:32:16	1:06:35	311		30-34男子	27
366	4035	上里 宗治	28	男	沖縄県	3:14:44	0:35:08	0:11:33	1:26:18	1:01:45	312		25-29男子	13
367	7057	庵原 一水	51	男	埼玉県	3:14:48	0:35:22	0:06:10	1:27:36	1:05:40	313		50-54男子	55
368	5023	星屋 和弘	54	男	愛知県	3:14:49	0:32:29	0:06:14	1:26:14	1:09:52	314		50-54男子	56
369	9001	松木 奨吾	27	男	東京都	3:14:51	0:27:42	0:05:04	1:30:50	1:11:15	315		25-29男子	14
370	7060	平澤 正次	52	男	静岡県	3:15:00	0:33:52	0:07:51	1:23:36	1:09:41	316		50-54男子	57
371	5073	渡部 達生	46	男	愛知県	3:15:01	0:36:55	0:07:35	1:18:07	1:12:24	317		45-49男子	57
372	9085	石丸 隆司	30	男	東京都	3:15:06	0:33:17	0:06:27	1:32:28	1:02:54	318		30-34男子	28
373	9057	宮嶋 裕史	44	男	福岡県	3:15:12	0:30:27	0:06:38	1:30:28	1:07:39	319		40-44男子	50
374	3005	礒谷 幸始	43	男	千葉県	3:15:13	0:30:23	0:05:49	1:23:37	1:15:24	320		40-44男子	51
375	7112	中山 博登	47	男	埼玉県	3:15:21	0:33:35	0:06:03	1:24:18	1:11:25	321		45-49男子	58
376	4001	楠野 泰之	60	男	千葉県	3:15:22	0:31:53	0:03:36	1:25:15	1:14:38	322		60-64男子	22
377	9080	岩浪 伸一	46	男	愛知県	3:15:22	0:38:44	0:09:35	1:14:05	1:12:58	323		45-49男子	59
378	5025	与謝野 孝浩	62	男	東京都	3:15:31	0:32:12	0:06:57	1:23:23	1:12:59	324		60-64男子	23
379	6069	佐々木 健	54	男	大阪府	3:15:31	0:30:37	0:04:49	1:22:42	1:17:23	325		50-54男子	58
380	7094	木村 紗希	32	女	大阪府	3:15:32	0:35:48	0:06:23	1:30:06	1:03:15		55	30-34女子	3
381	5018	大下 浩平	46	男	兵庫県	3:15:40	0:34:52	0:08:08	1:30:29	1:02:11	326		45-49男子	60
382	86	水野 美津子	63	女	茨城県	3:15:40	0:26:30	0:03:28	1:29:58	1:15:44		56	60-64女子	9
383	7044	松下 壽	47	男	静岡県	3:15:42	0:39:13	0:06:42	1:21:26	1:08:21	327		45-49男子	61
384	63	三原 邦彦	54	男	東京都	3:15:43	0:25:35	0:03:39	1:23:05	1:23:24	328		50-54男子	59
385	4104	入山 太郎	57	男	愛知県	3:15:48	0:31:17	0:06:11	1:17:00	1:21:20	329		55-59男子	39
386	3085	池上 ｹﾋﾞﾝ	33	男	東京都	3:15:53	0:31:49	0:08:51	1:31:25	1:03:48	330		30-34男子	29
387	2067	新田 克也	60	男	東京都	3:15:54	0:29:04	0:04:27	1:30:34	1:11:49	331		60-64男子	24
388	3090	伊藤 祐介	36	男	東京都	3:15:55	0:27:52	0:08:18	1:35:14	1:04:31	332		35-39男子	26
389	3032	澤野 太暉	30	男	東京都	3:16:00	0:31:23	0:03:20	1:20:40	1:20:37	333		30-34男子	30
390	9128	山崎 崇貴	43	男	兵庫県	3:16:00	0:31:57	0:03:05	1:27:08	1:13:50	334		40-44男子	52
391	7146	前田 隆司	64	男	東京都	3:16:01	0:34:28	0:06:21	1:29:50	1:05:22	335		60-64男子	25
392	3014	西村 香織	53	女	沖縄県	3:16:03	0:31:52	0:07:59	1:25:45	1:10:27		57	50-54女子	10
393	3061	草野 やよい	46	女	東京都	3:16:07	0:34:10	0:06:07	1:32:03	1:03:47		58	45-49女子	4
394	3035	小野 慎一郎	40	男	京都府	3:16:08	0:28:20	0:04:26	1:30:44	1:12:38	336		40-44男子	53
395	7039	饒平名 高幸	44	男	沖縄県	3:16:15	0:31:43	0:06:11	1:28:22	1:09:59	337		40-44男子	54
396	6115	本郷 亮司	51	男	沖縄県	3:16:15	0:36:52	0:08:36	1:27:00	1:03:47	338		50-54男子	60
397	5094	村木 純	22	男	東京都	3:16:19	0:30:05	0:07:41	1:30:17	1:08:16	339		20-24男子	12
398	4011	湯山 幸寛	69	男	東京都	3:16:37	0:32:58	0:05:54	1:30:25	1:07:20	340		65-69男子	9
399	4051	松原 高嶺	41	男	栃木県	3:16:42	0:33:20	0:05:21	1:30:39	1:07:22	341		40-44男子	55
400	9117	太田 祐	39	男	東京都	3:16:44	0:36:50	0:06:39	1:24:42	1:08:33	342		35-39男子	27
401	3023	徳田 和美	44	女	神奈川県	3:16:50	0:29:28	0:06:58	1:36:27	1:03:57		59	40-44女子	9
402	6065	川谷 陽子	54	女	愛知県	3:16:50	0:37:09	0:05:44	1:30:54	1:03:03		60	50-54女子	11
403	4091	池田 浩	52	男	埼玉県	3:16:52	0:33:13	0:07:32	1:27:32	1:08:35	343		50-54男子	61
404	6073	宮崎 幸宏	56	男	東京都	3:16:53	0:34:01	0:04:49	1:25:14	1:12:49	344		55-59男子	40
405	7100	阿部 真	38	男	兵庫県	3:17:04	0:36:05	0:07:18	1:27:02	1:06:39	345		35-39男子	28
406	7111	山崎 哲男	47	男	茨城県	3:17:15	0:34:34	0:05:48	1:30:10	1:06:43	346		45-49男子	62
407	35	岡本 琢郎	62	男	東京都	3:17:20	0:32:19	0:07:22	1:32:29	1:05:10	347		60-64男子	26
408	8055	神戸 美緒	32	女	東京都	3:17:22	0:32:27	0:09:31	1:33:00	1:02:24		61	30-34女子	4
409	3087	鈴木 垣蔵	35	男	沖縄県	3:17:23	0:32:18	0:05:33	1:30:14	1:09:18	348		35-39男子	29
410	7018	田中 和幸	51	男	神奈川県	3:17:32	0:40:19	0:06:37	1:27:47	1:02:49	349		50-54男子	62
411	5013	平澤 孝子	65	女	神奈川県	3:17:39	0:32:02	0:03:50	1:33:49	1:07:58		62	65-69女子	1
412	9062	有井 安仁	48	男	和歌山県	3:17:50	0:39:29	0:05:07	1:25:26	1:07:48	350		45-49男子	63
413	2086	鈴木 えり香	64	女	神奈川県	3:18:06	0:27:36	0:04:24	1:32:18	1:13:48		63	60-64女子	10
414	8028	稲熊 圭太	44	男	東京都	3:18:12	0:37:16	0:05:47	1:36:03	0:59:06	351		40-44男子	56
415	4111	杉橋 英治	59	男	愛媛県	3:18:15	0:35:12	0:07:41	1:31:07	1:04:15	352		55-59男子	41
416	3030	戸嶋 次介	63	男	東京都	3:18:16	0:33:43	0:04:26	1:24:36	1:15:31	353		60-64男子	27
417	8013	村山 晴唯	21	男	東京都	3:18:20	0:33:44	0:07:13	1:32:40	1:04:43	354		20-24男子	13
418	2027	嶋津 正樹	52	男	静岡県	3:18:26	0:32:50	0:04:26	1:30:44	1:10:26	355		50-54男子	63
419	5017	竹内 昌平	43	男	滋賀県	3:18:29	0:30:50	0:07:03	1:25:38	1:14:58	356		40-44男子	57
420	5020	舩越 裕勝	51	男	北海道	3:18:32	0:31:00	0:06:10	1:27:29	1:13:53	357		50-54男子	64
421	9124	森川 風花	31	女	東京都	3:18:40	0:37:28	0:05:59	1:27:26	1:07:47		64	30-34女子	5
422	5112	旗生 剛	55	男	東京都	3:18:48	0:31:44	0:08:48	1:29:57	1:08:19	358		55-59男子	42
423	9078	西村 央	42	男	神奈川県	3:18:49	0:30:58	0:07:28	1:31:19	1:09:04	359		40-44男子	58
424	4125	杉山 雅彦	67	男	大阪府	3:18:49	0:35:20	0:05:09	1:29:23	1:08:57	360		65-69男子	10
425	2075	米盛 英太郎	31	男	沖縄県	3:18:52	0:31:38	0:04:59	1:19:30	1:22:45	361		30-34男子	31
426	2054	嶋田 知記	46	男	和歌山県	3:19:07	0:24:35	0:05:30	1:23:27	1:25:35	362		45-49男子	64
427	6102	小森谷 慧大	37	男	神奈川県	3:19:07	0:30:45	0:04:47	1:35:29	1:08:06	363		35-39男子	30
428	6085	張 聖光	59	男	Chinese Taipei	3:19:15	0:38:15	0:05:01	1:33:58	1:02:01	364		55-59男子	43
429	54	藤田 裕二	49	男	東京都	3:19:15	0:29:07	0:05:44	1:25:54	1:18:30	365		45-49男子	65
430	3128	芳野 仁	54	男	沖縄県	3:19:16	0:36:10	0:05:27	1:25:53	1:11:46	366		50-54男子	65
431	7053	小谷部 典子	51	女	千葉県	3:19:28	0:35:49	0:05:36	1:30:42	1:07:21		65	50-54女子	12
432	64	山下 和秀	45	男	沖縄県	3:19:33	0:26:54	0:03:47	1:22:52	1:26:00	367		45-49男子	66
433	7110	松原 秀和	46	男	沖縄県	3:19:37	0:39:00	0:08:50	1:22:53	1:08:54	368		45-49男子	67
434	7139	桶谷 重雄	58	男	大阪府	3:19:41	0:32:02	0:06:13	1:27:18	1:14:08	369		55-59男子	44
435	3009	南 章行	49	男	東京都	3:19:54	0:27:52	0:03:29	1:33:59	1:14:34	370		45-49男子	68
436	8076	岡本 邦宏	48	男	東京都	3:20:03	0:30:19	0:05:28	1:38:07	1:06:09	371		45-49男子	69
437	8063	榎木 厚介	40	男	東京都	3:20:08	0:37:11	0:07:02	1:26:03	1:09:52	372		40-44男子	59
438	3127	鈴木 さおり	54	女	東京都	3:20:08	0:34:59	0:06:31	1:31:51	1:06:47		66	50-54女子	13
439	7097	岡 拓也	37	男	東京都	3:20:12	0:33:42	0:06:34	1:33:43	1:06:13	373		35-39男子	31
440	3129	野池 祐志	55	男	東京都	3:20:18	0:34:46	0:05:52	1:30:52	1:08:48	374		55-59男子	45
441	9023	中神 陽	48	男	東京都	3:20:20	0:33:53	0:08:19	1:32:26	1:05:42	375		45-49男子	70
442	7033	鈴木 亮太	39	男	大阪府	3:20:25	0:27:39	0:07:29	1:27:02	1:18:15	376		35-39男子	32
443	7077	山梨 英雄	64	男	大分県	3:20:31	0:39:05	0:07:50	1:29:11	1:04:25	377		60-64男子	28
444	6021	川尻 将大	35	男	北海道	3:20:43	0:34:15	0:07:13	1:31:15	1:08:00	378		35-39男子	33
445	26	秦 由加子	43	女	千葉県	3:20:46	0:27:05	0:05:01	1:31:12	1:17:28		67	40-44女子	10
446	8088	仲盛 敦	56	男	沖縄県	3:20:50	0:44:58	0:04:29	1:18:46	1:12:37	379		55-59男子	46
447	4080	上田 祐司	50	男	神奈川県	3:20:52	0:34:02	0:06:28	1:26:17	1:14:05	380		50-54男子	66
