総合順位	No.	氏名	カナ	年齢	性別	総合記録	ラン1ラップ	R1順	T1ラップ	T1順	バイクラップ	B順	スプリット	通過	T2ラップ	T2順	ラン2ラップ	R2順	年代区分	年代順位
205	1758	祝 宏	ｲﾜｲ ﾋﾛｼ	48	男	2:21:04	0:07:38	418	0:02:45	418	1:16:10	285	1:26:33	300	0:02:31	165	0:52:00	167	男子45-49歳	33
206	1430	田之頭 宏明	ﾀﾉｶﾞｼﾗ ﾋﾛｱｷ	53	男	2:21:07	0:06:30	147	0:02:42	399	1:14:49	248	1:24:01	228	0:03:12	352	0:53:54	216	男子50-54歳	25
207	1357	鈴木 隆之	ｽｽﾞｷ ﾀｶﾕｷ	57	男	2:21:11	0:07:09	310	0:02:35	367	1:13:01	191	1:22:45	201	0:02:53	276	0:55:33	260	男子55-59歳	18
208	1100	岩田 享也	ｲﾜﾀ ﾀｶﾅﾘ	47	男	2:21:17	0:07:10	313	0:02:13	216	1:11:48	163	1:21:11	166	0:02:25	152	0:57:41	315	男子45-49歳	34
209	1426	谷口 博康	ﾀﾆｸﾞﾁ ﾋﾛﾔｽ	54	男	2:21:17	0:07:00	269	0:02:01	138	1:09:16	99	1:18:17	108	0:02:23	141	1:00:37	396	男子50-54歳	26
210	1455	登坂 貴幸	ﾄｻｶ ﾀｶﾕｷ	31	男	2:21:18	0:06:58	263	0:02:42	399	1:19:44	415	1:29:24	400	0:02:45	231	0:49:09	92	男子30-34歳	21
211	1317	佐藤 宏隆	ｻﾄｳ ﾋﾛﾀｶ	44	男	2:21:19	0:06:26	139	0:02:44	414	1:17:05	315	1:26:15	289	0:04:21	586	0:50:43	129	男子40-44歳	30
212	1497	中村 康浩	ﾅｶﾑﾗ ﾔｽﾋﾛ	41	男	2:21:22	0:06:34	160	0:02:33	349	1:18:09	366	1:27:16	333	0:02:48	245	0:51:18	146	男子40-44歳	31
213	1431	玉川 憲	ﾀﾏｶﾞﾜ ｹﾝ	44	男	2:21:26	0:07:17	338	0:04:25	665	1:10:28	127	1:22:10	191	0:03:20	397	0:55:56	270	男子40-44歳	32
214	1275	小西 裕二	ｺﾆｼ ﾕｳｼﾞ	58	男	2:21:28	0:06:48	225	0:01:53	104	1:15:53	277	1:24:34	245	0:02:21	135	0:54:33	232	男子55-59歳	19
215	1484	中台 智之	ﾅｶﾀﾞｲ ﾄﾓﾕｷ	43	男	2:21:29	0:06:59	268	0:03:23	578	1:17:06	318	1:27:28	338	0:03:20	397	0:50:41	128	男子40-44歳	33
216	1099	岩瀬 和広	ｲﾜｾ ｶｽﾞﾋﾛ	58	男	2:21:34	0:07:50	478	0:02:24	282	1:14:25	229	1:24:39	248	0:02:52	271	0:54:03	219	男子55-59歳	20
217	1574	福原 琢磨	ﾌｸﾊﾗ ﾀｸﾏ	46	男	2:21:42	0:07:28	385	0:02:10	192	1:13:54	208	1:23:32	219	0:02:46	237	0:55:24	257	男子45-49歳	35
218	1543	早川 信悟	ﾊﾔｶﾜ ｼﾝｺﾞ	54	男	2:21:44	0:06:42	191	0:01:56	114	1:18:00	363	1:26:38	307	0:02:22	139	0:52:44	187	男子50-54歳	27
219	1443	辻 慶雄	ﾂｼﾞ ﾖｼｵ	58	男	2:21:45	0:07:03	290	0:02:09	188	1:12:13	171	1:21:25	169	0:02:41	211	0:57:39	312	男子55-59歳	21
220	1065	市川 幸洋	ｲﾁｶﾜ ﾕｷﾋﾛ	53	男	2:21:47	0:07:22	356	0:02:52	450	1:16:20	291	1:26:34	302	0:02:44	226	0:52:29	177	男子50-54歳	28
221	1415	棚網 宏之	ﾀﾅｱﾐ ﾋﾛﾕｷ	36	男	2:21:48	0:07:29	391	0:02:21	257	1:11:40	160	1:21:30	173	0:02:34	181	0:57:44	318	男子35-39歳	24
222	1760	河口 学	ｶﾜｸﾞﾁ ﾏﾅﾌﾞ	50	男	2:21:56	0:07:12	322	0:02:36	375	1:11:56	166	1:21:44	178	0:02:15	109	0:57:57	329	男子50-54歳	29
223	1666	望月 暢人	ﾓﾁﾂﾞｷ ﾉﾌﾞﾄ	31	男	2:22:01	0:06:39	183	0:02:03	151	1:11:34	157	1:20:16	147	0:02:30	163	0:59:15	362	男子30-34歳	22
224	1479	長島 洋希	ﾅｶﾞｼﾏ ﾋﾛｷ	39	男	2:22:02	0:07:54	492	0:02:55	469	1:16:20	291	1:27:09	326	0:03:13	356	0:51:40	158	男子35-39歳	25
225	1025	荒井 隆宏	ｱﾗｲ ﾀｶﾋﾛ	46	男	2:22:05	0:07:37	417	0:02:12	209	1:16:11	286	1:26:00	280	0:02:35	187	0:53:30	206	男子45-49歳	36
226	1622	松下 敏人	ﾏﾂｼﾀ ﾄｼﾋﾄ	49	男	2:22:07	0:06:51	239	0:02:16	233	1:17:52	357	1:26:59	318	0:03:01	311	0:52:07	170	男子45-49歳	37
227	1409	太宰 賢二	ﾀﾞｻﾞｲ ｹﾝｼﾞ	39	男	2:22:11	0:06:04	82	0:02:37	383	1:17:19	330	1:26:00	279	0:02:56	294	0:53:15	199	男子35-39歳	26
228	1784	桑原 知也	ｸﾜﾊﾞﾗ ﾄﾓﾔ	21	男	2:22:18	0:06:39	181	0:02:15	227	1:17:50	355	1:26:44	311	0:02:15	109	0:53:19	201	男子24歳以下	49
229	1179	柏崎 龍進	ｶｼﾜｻﾞｷ ﾘﾕｳｼﾝ	55	男	2:22:19	0:07:24	366	0:02:13	216	1:11:35	158	1:21:12	167	0:03:19	391	0:57:48	319	男子55-59歳	22
230	1669	森永 雄太	ﾓﾘﾅｶﾞ ﾕｳﾀ	32	男	2:22:29	0:06:11	98	0:02:18	242	1:18:40	382	1:27:09	328	0:04:16	574	0:51:04	141	男子30-34歳	23
231	1799	Nakajima Takehiro	ﾅｶｼﾞﾏ ﾀｹﾋﾛ	37	男	2:22:32	0:07:20	350	0:02:16	233	1:11:25	154	1:21:01	164	0:03:19	391	0:58:12	337	男子35-39歳	27
232	1585	藤原 周平	ﾌｼﾞﾜﾗ ｼｭｳﾍｲ	32	男	2:22:34	0:06:40	187	0:03:05	519	1:16:50	307	1:26:35	304	0:03:22	411	0:52:37	182	男子30-34歳	24
233	1648	三宅 利洋	ﾐﾔｹ ﾄｼﾋﾛ	51	男	2:22:38	0:06:57	260	0:03:14	545	1:13:35	203	1:23:46	221	0:03:08	336	0:55:44	266	男子50-54歳	30
234	1134	太田 滋	ｵｵﾀ ｼｹﾞﾙ	44	男	2:22:43	0:06:49	227	0:02:55	469	1:15:55	278	1:25:39	273	0:05:29	652	0:51:35	155	男子40-44歳	34
235	1524	野中 博文	ﾉﾅｶ ﾋﾛﾌﾐ	56	男	2:22:46	0:07:00	272	0:02:32	335	1:15:52	276	1:25:24	268	0:03:35	464	0:53:47	211	男子55-59歳	23
236	1119	宇山 宏樹	ｳﾔﾏ ﾋﾛｷ	48	男	2:22:51	0:06:46	216	0:02:44	414	1:14:50	249	1:24:20	238	0:03:09	344	0:55:22	255	男子45-49歳	38
237	1771	畔上 貴嗣	ｱｾﾞｳｴ ﾀｶﾂｸﾞ	20	男	2:22:54	0:05:52	49	0:02:01	138	1:13:35	203	1:21:28	172	0:02:49	252	0:58:37	345	男子24歳以下	50
238	1024	阿部 涼平	ｱﾍﾞ ﾘｮｳﾍｲ	39	男	2:22:55	0:07:16	334	0:02:52	450	1:15:51	275	1:25:59	278	0:02:53	276	0:54:03	219	男子35-39歳	28
239	1529	馬越 学	ﾊﾞｺｼ ﾏﾅﾌﾞ	46	男	2:22:56	0:06:19	121	0:02:36	375	1:19:53	423	1:28:48	382	0:03:07	333	0:51:01	138	男子45-49歳	39
240	1373	関 貴弘	ｾｷ ﾀｶﾋﾛ	48	男	2:22:57	0:07:02	285	0:02:43	407	1:15:44	273	1:25:29	269	0:04:36	602	0:52:52	189	男子45-49歳	40
241	1030	粟津 信一	ｱﾜﾂﾞ ｼﾝｲﾁ	45	男	2:22:57	0:07:36	415	0:03:03	508	1:17:05	315	1:27:44	346	0:03:50	514	0:51:23	148	男子45-49歳	41
242	1086	井上 裕士	ｲﾉｳｴ ﾕｳｼﾞ	57	男	2:23:17	0:07:15	330	0:02:24	282	1:12:52	188	1:22:31	197	0:02:40	207	0:58:06	335	男子55-59歳	24
243	1053	石津 晃一	ｲｼﾂﾞ ｺｳｲﾁ	50	男	2:23:17	0:07:45	449	0:02:08	185	1:14:25	229	1:24:18	236	0:03:15	365	0:55:44	266	男子50-54歳	31
244	1132	大嶋 秀樹	ｵｵｼﾏ ﾋﾃﾞｷ	50	男	2:23:25	0:07:41	437	0:02:17	236	1:12:14	172	1:22:12	192	0:02:35	187	0:58:38	346	男子50-54歳	32
245	1116	宇谷 光貴	ｳﾀﾆ ﾐﾂﾖｼ	40	男	2:23:26	0:06:51	237	0:02:32	335	1:17:27	338	1:26:50	313	0:03:31	453	0:53:05	194	男子40-44歳	35
246	1761	上地 弘起	ｳｴﾁ ﾋﾛｷ	33	男	2:23:32	0:06:54	250	0:01:54	107	1:24:40	528	1:33:28	499	0:02:01	68	0:48:03	74	男子30-34歳	25
247	1138	大塚 真司	ｵｵﾂｶ ｼﾝｼﾞ	53	男	2:23:35	0:07:08	304	0:02:27	303	1:15:38	269	1:25:13	264	0:03:02	315	0:55:20	254	男子50-54歳	33
248	1171	小野田 寛	ｵﾉﾀﾞ ﾋﾛｼ	33	男	2:23:42	0:06:38	179	0:02:26	296	1:22:17	484	1:31:21	453	0:02:57	299	0:49:24	101	男子30-34歳	26
249	1721	笠 正和	ﾘｭｳ ﾏｻｶｽﾞ	47	男	2:23:42	0:06:44	210	0:03:18	567	1:15:10	258	1:25:12	263	0:03:47	507	0:54:43	241	男子45-49歳	42
250	1724	若林 正人	ﾜｶﾊﾞﾔｼ ﾏｻﾄ	55	男	2:23:47	0:07:59	507	0:02:56	480	1:17:52	357	1:28:47	381	0:03:24	421	0:51:36	156	男子55-59歳	25
251	1674	諸星 篤志	ﾓﾛﾎｼ ｱﾂｼ	48	男	2:23:50	0:07:40	432	0:02:58	489	1:12:47	182	1:23:25	217	0:02:42	217	0:57:43	317	男子45-49歳	43
252	1644	三原 祐大	ﾐﾊﾗ ﾕｳﾀ	31	男	2:23:51	0:07:46	454	0:01:51	92	1:16:49	304	1:26:26	297	0:01:58	60	0:55:27	258	男子30-34歳	27
253	1602	堀中 浩介	ﾎﾘﾅｶ ｺｳｽｹ	47	男	2:23:56	0:07:30	394	0:02:10	192	1:13:13	194	1:22:53	208	0:03:06	332	0:57:57	329	男子45-49歳	44
254	1624	松田 裕行	ﾏﾂﾀﾞ ﾋﾛﾕｷ	52	男	2:23:59	0:07:08	306	0:02:39	390	1:14:47	247	1:24:34	245	0:02:42	217	0:56:43	293	男子50-54歳	34
255	1216	上林 肇	ｶﾝﾊﾞﾔｼ ﾊｼﾞﾒ	53	男	2:24:05	0:06:46	213	0:02:23	275	1:19:59	430	1:29:08	389	0:02:23	141	0:52:34	179	男子50-54歳	35
256	1213	川端 力	ｶﾜﾊﾞﾀ ﾂﾄﾑ	46	男	2:24:09	0:07:26	377	0:02:41	398	1:15:39	270	1:25:46	275	0:03:29	447	0:54:54	246	男子45-49歳	45
257	1037	池田 俊彦	ｲｹﾀﾞ ﾄｼﾋｺ	55	男	2:24:13	0:07:11	320	0:02:39	390	1:16:32	295	1:26:22	292	0:04:22	587	0:53:29	205	男子55-59歳	26
258	1451	唐司 寿一	ﾄｳﾉｽ ｼﾞｭｲﾁ	44	男	2:24:14	0:06:43	203	0:02:52	450	1:19:48	420	1:29:23	399	0:03:02	315	0:51:49	162	男子40-44歳	36
258	1038	池田 英弘	ｲｹﾀﾞ ﾋﾃﾞﾋﾛ	22	男	2:24:14	0:08:20	566	0:02:28	311	1:23:06	502	1:33:54	507	0:02:50	260	0:47:30	64	男子24歳以下	51
258	1310	佐藤 純	ｻﾄｳ ｼﾞｭﾝ	55	男	2:24:14	0:06:52	242	0:03:40	616	1:16:35	297	1:27:07	325	0:03:20	397	0:53:47	211	男子55-59歳	27
261	1591	北條 茂樹	ﾎｳｼﾞｮｳ ｼｹﾞｷ	51	男	2:24:16	0:07:06	298	0:03:54	637	1:17:47	353	1:28:47	379	0:02:53	276	0:52:36	180	男子50-54歳	36
262	1671	森本 祐一	ﾓﾘﾓﾄ ﾕｳｲﾁ	36	男	2:24:17	0:06:50	231	0:02:07	176	1:21:09	465	1:30:06	417	0:02:17	117	0:51:54	164	男子35-39歳	29
263	1609	前山 仁	ﾏｴﾔﾏ ﾋﾄｼ	51	男	2:24:20	0:07:38	419	0:03:05	519	1:12:21	173	1:23:04	211	0:03:24	421	0:57:52	322	男子50-54歳	37
264	1170	小野 隆志	ｵﾉ ﾀｶｼ	45	男	2:24:32	0:07:15	331	0:02:27	303	1:17:16	327	1:26:58	317	0:02:35	187	0:54:59	249	男子45-49歳	46
265	1605	本間 学	ﾎﾝﾏ ﾏﾅﾌﾞ	53	男	2:24:32	0:06:53	246	0:03:23	578	1:16:11	286	1:26:27	298	0:04:25	593	0:53:40	208	男子50-54歳	38
266	1481	永田 健	ﾅｶﾞﾀ ｹﾝ	30	男	2:24:40	0:05:54	55	0:02:10	192	1:15:39	270	1:23:43	220	0:03:18	385	0:57:39	312	男子30-34歳	28
267	1462	戸谷 信博	ﾄﾔ ﾉﾌﾞﾋﾛ	32	男	2:24:42	0:07:01	274	0:02:03	151	1:15:55	278	1:24:59	253	0:02:07	82	0:57:36	310	男子30-34歳	29
268	1442	辻 泰士	ﾂｼﾞ ﾀｲｼﾞ	42	男	2:24:46	0:06:27	142	0:02:04	161	1:08:57	85	1:17:28	86	0:03:37	475	1:03:41	465	男子40-44歳	37
269	1238	木村 敏之	ｷﾑﾗ ﾄｼﾕｷ	39	男	2:24:52	0:07:34	408	0:02:30	322	1:18:46	385	1:28:50	384	0:02:51	265	0:53:11	196	男子35-39歳	30
270	1421	田中 豊行	ﾀﾅｶ ﾄﾖﾕｷ	42	男	2:24:55	0:06:32	155	0:02:07	176	1:15:42	272	1:24:21	239	0:03:27	438	0:57:07	302	男子40-44歳	38
271	1114	鵜瀬 和秀	ｳｾ ｶｽﾞﾋﾃﾞ	32	男	2:24:56	0:06:09	91	0:03:07	523	1:25:49	555	1:35:05	528	0:03:02	315	0:46:49	57	男子30-34歳	30
272	1021	足立 竜治	ｱﾀﾞﾁ ﾘｭｳｼﾞ	47	男	2:25:02	0:07:26	379	0:02:37	383	1:10:45	137	1:20:48	157	0:04:37	606	0:59:37	373	男子45-49歳	47
273	1739	市川 智昭	ｲﾁｶﾜ ﾄﾓｱｷ	51	男	2:25:06	0:07:28	389	0:03:16	553	1:10:07	116	1:20:51	161	0:02:41	211	1:01:34	419	男子50-54歳	39
274	1087	庵原 一水	ｲﾊﾗ ｲｯｽｲ	47	男	2:25:10	0:07:12	323	0:02:34	360	1:17:19	330	1:27:05	322	0:03:07	333	0:54:58	248	男子45-49歳	48
275	1265	小浦 直樹	ｺｳﾗ ﾅｵｷ	40	男	2:25:13	0:06:44	207	0:02:30	322	1:16:53	310	1:26:07	283	0:02:35	187	0:56:31	285	男子40-44歳	39
276	1683	山岡 義正	ﾔﾏｵｶ ﾖｼﾏｻ	42	男	2:25:15	0:06:42	198	0:02:42	399	1:13:16	195	1:22:40	199	0:02:22	139	1:00:13	387	男子40-44歳	40
277	1456	戸嶋 次介	ﾄｼﾏ ｼﾞｶｲ	59	男	2:25:17	0:07:40	434	0:02:50	443	1:13:23	196	1:23:53	223	0:03:23	414	0:58:01	332	男子55-59歳	28
278	1731	渡辺 修治	ﾜﾀﾅﾍﾞ ｼｭｳｼﾞ	42	男	2:25:18	0:06:51	238	0:02:29	316	1:13:33	201	1:22:53	207	0:03:08	336	0:59:17	363	男子40-44歳	41
279	1590	ＨＥＤＤＥ ＳＹＬＶＡＩＮ	ﾍｯﾄﾞ ｼﾙﾊﾞﾝ	39	男	2:25:24	0:07:44	445	0:02:45	418	1:11:36	159	1:22:05	190	0:03:24	421	0:59:55	380	男子35-39歳	31
280	1693	山田 慎悟	ﾔﾏﾀﾞ ｼﾝｺﾞ	36	男	2:25:30	0:06:41	189	0:02:49	435	1:21:07	462	1:30:37	436	0:03:28	442	0:51:25	151	男子35-39歳	32
281	1012	秋山 貴之	ｱｷﾔﾏ ﾀｶﾕｷ	44	男	2:25:32	0:06:53	248	0:01:51	92	1:16:11	286	1:24:55	252	0:02:43	222	0:57:54	326	男子40-44歳	42
282	1530	橋本 淳志	ﾊｼﾓﾄ ｱﾂｼ	26	男	2:25:35	0:06:58	263	0:02:32	335	1:16:52	308	1:26:22	293	0:02:49	252	0:56:24	281	男子25-29歳	9
283	1200	神谷 翔也	ｶﾐﾔ ｼｮｳﾔ	26	男	2:25:55	0:06:49	228	0:02:32	335	1:16:53	310	1:26:14	288	0:03:23	414	0:56:18	278	男子25-29歳	10
284	1212	河端 茂伸	ｶﾜﾊﾞﾀ ｼｹﾞﾉﾌﾞ	44	男	2:25:57	0:07:22	359	0:02:39	390	1:17:47	353	1:27:48	348	0:03:10	345	0:54:59	249	男子40-44歳	43
285	1520	根岸 邦仁	ﾈｷﾞｼ ｸﾆﾋﾄ	48	男	2:26:03	0:07:10	314	0:02:46	425	1:23:38	506	1:33:34	504	0:03:36	467	0:48:53	86	男子45-49歳	49
286	1765	TAKESHI MATSU	ﾏﾂﾀﾞ ﾀｹｼ	36	男	2:26:10	0:07:52	486	0:02:13	216	1:15:27	263	1:25:32	271	0:02:44	226	0:57:54	326	男子35-39歳	33
287	1412	田治米 伸康	ﾀｼﾞﾒ ﾉﾌﾞﾔｽ	37	男	2:26:17	0:06:50	232	0:02:03	151	1:17:41	351	1:26:34	303	0:02:55	288	0:56:48	296	男子35-39歳	34
288	1301	佐坂 真一	ｻｻｶ ｼﾝｲﾁ	45	男	2:26:29	0:07:11	317	0:02:22	265	1:09:06	92	1:18:39	116	0:03:08	336	1:04:42	482	男子45-49歳	50
289	1333	篠原 智志	ｼﾉﾊﾗ ｻﾄｼ	29	男	2:26:30	0:06:45	212	0:01:59	128	1:16:49	304	1:25:33	272	0:02:12	94	0:58:45	351	男子25-29歳	11
290	1041	池本 多賀正	ｲｹﾓﾄ ﾀｶﾞﾏｻ	46	男	2:26:31	0:07:16	333	0:02:38	388	1:14:23	228	1:24:17	235	0:03:04	328	0:59:10	361	男子45-49歳	51
291	1157	岡本 篤志	ｵｶﾓﾄ ｱﾂｼ	45	男	2:26:34	0:06:49	228	0:02:15	227	1:15:09	257	1:24:13	233	0:02:37	197	0:59:44	375	男子45-49歳	52
292	1812	太田 暁也	ｵｵﾀ ｱｷﾅﾘ	45	男	2:26:34	0:06:26	141	0:01:54	107	1:24:26	525	1:32:46	478	0:04:34	600	0:49:14	96	男子45-49歳	53
293	1826	吉村 正機	ﾖｼﾑﾗ ﾏｻｷ	43	男	2:26:36	0:07:07	300	0:02:22	265	1:15:36	268	1:25:05	258	0:02:55	288	0:58:36	343	男子40-44歳	44
294	1707	吉岡 朋昭	ﾖｼｵｶ ﾄﾓｱｷ	57	男	2:26:38	0:07:48	467	0:03:36	607	1:09:15	98	1:20:39	155	0:04:01	546	1:01:58	426	男子55-59歳	29
295	1754	田辺 秀洋	ﾀﾅﾍﾞ ﾋﾃﾞﾋﾛ	48	男	2:26:41	0:07:59	508	0:02:21	257	1:14:25	229	1:24:45	251	0:02:52	271	0:59:04	357	男子45-49歳	54
296	1488	中西 俊平	ﾅｶﾆｼ ｼｭﾝﾍﾟｲ	31	男	2:26:41	0:06:46	218	0:02:13	216	1:18:13	369	1:27:12	329	0:02:54	282	0:56:35	287	男子30-34歳	31
297	1632	三浦 太郎	ﾐｳﾗ ﾀﾛｳ	49	男	2:26:44	0:07:08	305	0:02:55	469	1:11:23	153	1:21:26	170	0:03:04	328	1:02:14	433	男子45-49歳	55
298	1444	辻野 尚哉	ﾂｼﾞﾉ ﾋｻﾔ	54	男	2:26:51	0:07:24	367	0:02:07	176	1:21:06	461	1:30:37	435	0:02:55	288	0:53:19	201	男子50-54歳	40
299	1819	榛澤 繁	ﾊﾝｻﾞﾜ ｼｹﾞﾙ	57	男	2:26:52	0:07:28	387	0:02:40	395	1:14:51	250	1:24:59	254	0:03:14	360	0:58:39	348	男子55-59歳	30
300	1083	井上 貴志	ｲﾉｳｴ ﾀｶｼ	44	男	2:26:54	0:07:52	484	0:02:35	367	1:12:36	178	1:23:03	210	0:03:20	397	1:00:31	392	男子40-44歳	45
301	1496	中村 紀雄	ﾅｶﾑﾗ ﾉﾘｵ	50	男	2:26:59	0:07:18	343	0:02:36	375	1:18:35	377	1:28:29	374	0:02:52	271	0:55:38	262	男子50-54歳	41
302	1576	藤井 利通	ﾌｼﾞｲ ﾄｼﾐﾁ	44	男	2:27:01	0:06:35	166	0:02:45	418	1:19:55	424	1:29:15	391	0:03:43	498	0:54:03	219	男子40-44歳	46
303	1457	轟 啓介	ﾄﾄﾞﾛｷ ｹｲｽｹ	45	男	2:27:03	0:07:49	474	0:02:18	242	1:14:04	213	1:24:11	232	0:02:53	276	0:59:59	381	男子45-49歳	56
304	1596	堀内 栄吾	ﾎﾘｳﾁ ｴｲｺﾞ	37	男	2:27:18	0:06:33	159	0:02:15	227	1:21:42	472	1:30:30	432	0:02:29	161	0:54:19	227	男子35-39歳	35
305	1049	石田 和之	ｲｼﾀﾞ ｶｽﾞﾕｷ	46	男	2:27:29	0:07:07	303	0:02:29	316	1:13:09	193	1:22:45	202	0:02:43	222	1:02:01	427	男子45-49歳	57
306	1694	山田 真理男	ﾔﾏﾀﾞ ﾏﾘｵ	50	男	2:27:34	0:07:49	473	0:03:16	553	1:14:57	254	1:26:02	281	0:03:51	517	0:57:41	315	男子50-54歳	42
307	1645	三村 賢司	ﾐﾑﾗ ｹﾝｼﾞ	53	男	2:27:41	0:08:02	519	0:02:49	435	1:17:24	336	1:28:15	366	0:02:50	260	0:56:36	288	男子50-54歳	43
308	1586	藤原 陽一	ﾌｼﾞﾜﾗ ﾖｳｲﾁ	42	男	2:27:42	0:06:24	134	0:02:02	147	1:22:08	480	1:30:34	434	0:02:33	177	0:54:35	235	男子40-44歳	47
309	1034	池上 崇	ｲｹｶﾞﾐ ﾀｶｼ	47	男	2:27:55	0:07:36	414	0:02:32	335	1:17:05	315	1:27:13	330	0:03:19	391	0:57:23	305	男子45-49歳	58
310	1597	堀内 厚佑	ﾎﾘｳﾁ ｺｳｽｹ	28	男	2:27:57	0:07:16	336	0:01:55	111	1:18:39	381	1:27:50	350	0:02:13	100	0:57:54	326	男子25-29歳	12
311	1390	高野 輝明	ﾀｶﾉ ﾃﾙｱｷ	49	男	2:27:58	0:07:40	433	0:02:19	251	1:11:50	164	1:21:49	182	0:02:24	147	1:03:45	466	男子45-49歳	59
312	1221	北田 好克	ｷﾀﾀﾞ ﾖｼｶﾂ	43	男	2:27:58	0:08:12	547	0:02:22	265	1:11:12	149	1:21:46	180	0:03:55	527	1:02:17	434	男子40-44歳	48
313	1801	山口 健司	ﾔﾏｸﾞﾁ ｹﾝｼﾞ	48	男	2:28:05	0:07:22	360	0:02:25	286	1:18:59	390	1:28:46	378	0:03:56	532	0:55:23	256	男子45-49歳	60
314	1475	中島 健晴	ﾅｶｼﾞﾏ ﾀｹﾊﾙ	56	男	2:28:05	0:08:05	525	0:03:10	533	1:16:01	280	1:27:16	332	0:02:59	303	0:57:50	321	男子55-59歳	31
315	1105	上田 元治	ｳｴﾀﾞ ﾓﾄﾊﾙ	47	男	2:28:12	0:07:25	374	0:02:11	200	1:16:47	303	1:26:23	295	0:03:28	442	0:58:21	339	男子45-49歳	61
316	1143	大橋 暁	ｵｵﾊｼ ｻﾄﾙ	48	男	2:28:18	0:07:38	422	0:03:24	585	1:17:11	321	1:28:13	363	0:05:25	645	0:54:40	239	男子45-49歳	62
317	1423	田中 伸和	ﾀﾅｶ ﾉﾌﾞｶｽﾞ	49	男	2:28:19	0:07:52	488	0:02:14	224	1:19:24	405	1:29:30	401	0:02:49	252	0:56:00	271	男子45-49歳	63
318	1141	大西 健史	ｵｵﾆｼ ﾀｹｼ	47	男	2:28:20	0:07:20	352	0:02:31	331	1:18:11	368	1:28:02	359	0:02:43	222	0:57:35	309	男子45-49歳	64
319	1738	渡邉 穂高	ﾜﾀﾅﾍﾞ ﾎﾀﾞｶ	41	男	2:28:23	0:07:07	301	0:02:42	399	1:17:39	350	1:27:28	339	0:03:48	510	0:57:07	302	男子40-44歳	49
320	1071	伊藤 智史	ｲﾄｳ ｻﾄｼ	42	男	2:28:24	0:07:18	345	0:02:25	286	1:17:14	322	1:26:57	315	0:03:01	311	0:58:26	342	男子40-44歳	50
321	1215	神田 秀仁	ｶﾝﾀﾞ ﾋﾃﾞﾋﾄ	62	男	2:28:27	0:08:05	526	0:03:16	553	1:10:06	115	1:21:27	171	0:03:20	397	1:03:40	464	男子60-64歳	4
322	1120	遠藤 尚	ｴﾝﾄﾞｳ ｼｮｳ	44	男	2:28:28	0:07:05	295	0:02:54	463	1:18:16	371	1:28:15	364	0:03:17	381	0:56:56	297	男子40-44歳	51
323	1538	羽田野 潔	ﾊﾀﾉ ｷﾖｼ	56	男	2:28:35	0:07:40	429	0:02:44	414	1:17:15	324	1:27:39	343	0:03:19	391	0:57:37	311	男子55-59歳	32
324	1064	市川 浩司	ｲﾁｶﾜ ｺｳｼﾞ	36	男	2:28:40	0:06:43	203	0:02:03	151	1:22:22	488	1:31:08	446	0:03:37	475	0:53:55	217	男子35-39歳	36
325	1737	渡邉 健	ﾜﾀﾅﾍﾞ ﾀﾂﾙ	31	男	2:28:41	0:06:42	193	0:02:26	296	1:23:56	518	1:33:04	485	0:02:14	102	0:53:23	203	男子30-34歳	32
326	1245	葛井 亮平	ｸｽﾞｲ ﾘｮｳﾍｲ	43	男	2:28:45	0:06:58	262	0:02:06	170	1:17:32	344	1:26:36	305	0:03:25	428	0:58:44	350	男子40-44歳	52
327	1133	大曽根 友樹	ｵｵｿﾈ ﾄﾓｷ	29	男	2:28:48	0:06:08	90	0:02:00	130	1:21:12	468	1:29:20	396	0:04:51	625	0:54:37	236	男子25-29歳	13
328	1396	高橋 秀臣	ﾀｶﾊｼ ﾋﾃﾞｵﾐ	43	男	2:28:51	0:06:35	165	0:02:01	138	1:21:29	470	1:30:05	416	0:02:09	86	0:56:37	290	男子40-44歳	53
329	1258	小泉 雅則	ｺｲｽﾞﾐ ﾏｻﾉﾘ	45	男	2:28:53	0:06:46	218	0:03:53	636	1:27:10	576	1:37:49	558	0:04:19	584	0:46:45	56	男子45-49歳	65
330	1755	星谷 雄太	ﾎｼﾔ ﾕｳﾀ	41	男	2:28:56	0:07:15	331	0:02:36	375	1:18:50	388	1:28:41	376	0:02:44	226	0:57:31	308	男子40-44歳	54
331	1073	伊東 大輔	ｲﾄｳ ﾀﾞｲｽｹ	35	男	2:29:11	0:06:13	101	0:03:04	514	1:18:54	389	1:28:11	362	0:04:48	620	0:56:12	274	男子35-39歳	37
332	1453	徳田 央士	ﾄｸﾀﾞ ｵｵｼ	43	男	2:29:11	0:07:39	425	0:02:30	322	1:17:08	319	1:27:17	334	0:02:48	245	0:59:06	359	男子40-44歳	55
333	1727	和田 晃典	ﾜﾀﾞ ｱｷﾉﾘ	53	男	2:29:14	0:07:11	321	0:03:01	502	1:19:26	407	1:29:38	405	0:03:30	451	0:56:06	272	男子50-54歳	44
334	1011	秋本 洋	ｱｷﾓﾄ ﾖｳ	47	男	2:29:16	0:06:59	266	0:02:03	151	1:21:12	468	1:30:14	423	0:02:49	252	0:56:13	275	男子45-49歳	66
335	1581	藤戸 淳介	ﾌｼﾞﾄ ｼﾞｭﾝｽｹ	48	男	2:29:17	0:07:22	360	0:02:25	286	1:20:25	442	1:30:12	421	0:02:51	265	0:56:14	276	男子45-49歳	67
